N,method,seed,HV,IGD,ND_size
2653,NSGA2,20,461.65966789842037,0.5395243,300
2653,NSGA2,21,497.3861540117359,0.056256603,300
2653,NSGA2,22,483.6547194749696,0.18800254,299
2653,NSGA2,23,487.8056589654443,0.15554178,300
2653,NSGA2,24,482.3083011948329,0.20293158,288
2653,NSGA2,25,468.03020135955285,0.43264246,300
2653,NSGA2,26,447.5576503028242,0.7795955,284
2653,NSGA2,27,475.3759008517776,0.32834882,284
2653,NSGA2,28,490.080421985047,0.16630945,293
2653,NSGA2,29,479.7746458019501,0.24724764,300
2653,RANDOM,0,79.23474259272916,23.830315,37
2653,RANDOM,1,68.95236792567812,23.818863,34
2653,RANDOM,2,74.7918903259415,23.371614,36
2653,RANDOM,3,68.88007750780525,23.823614,30
2653,RANDOM,4,72.69903133294429,23.573982,43
2653,RANDOM,5,69.45680750213796,23.664299,33
2653,RANDOM,6,72.20873587786627,24.222971,31
2653,RANDOM,7,72.49340046028374,23.908176,33
2653,RANDOM,8,75.03137826226884,23.879221,33
2653,RANDOM,9,71.2920694827917,23.981308,30
2653,RANDOM,10,72.98637653938204,23.33706,30
2653,RANDOM,11,72.17850019526668,23.886755,28
2653,RANDOM,12,72.88575915576075,23.177896,44
2653,RANDOM,13,76.92850995616755,23.982868,22
2653,RANDOM,14,78.3993423853442,23.882069,39
2653,RANDOM,15,71.11918054643684,23.152456,35
2653,RANDOM,16,72.68196396071289,23.303782,44
2653,RANDOM,17,75.63595366209483,21.343414,41
2653,RANDOM,18,70.84400182528225,23.798262,32
2653,RANDOM,19,76.01728632776212,22.836315,38
2653,RANDOM,20,71.6459630887257,24.057522,29
2653,RANDOM,21,72.14840138396539,24.132456,34
2653,RANDOM,22,68.22056614703206,24.267584,42
2653,RANDOM,23,74.27254088591144,23.491436,39
2653,RANDOM,24,72.91112966812216,23.368324,30
2653,RANDOM,25,71.92170286543114,23.186857,36
2653,RANDOM,26,72.63886831211857,22.912659,30
2653,RANDOM,27,73.90327559002617,22.413774,39
2653,RANDOM,28,83.46450434864164,23.057901,37
2653,RANDOM,29,65.52600418521615,24.317005,36
