Ticker,Expected Return,Expected Risk (Var),Cost (Latest Price),Market Cap
APRE,0.014129,0.006616,0.917000,9673904.433981
APVO,0.000046,0.003593,7.320000,10517288.653494
APWC,0.000719,0.000104,1.670000,34139084.303331
APXT,-0.000054,0.000004,9.960000,459600000.000000
APYX,-0.015717,0.001318,3.270000,140731606.199023
AQB,0.003821,0.003567,0.970000,3489926.307549
AQMS,0.001980,0.002797,4.900000,14607992.984312
AQST,-0.000892,0.001033,4.000000,523393350.115951
ARAI,-0.020810,0.006086,1.100000,38620592.295200
ARAY,-0.015429,0.004434,0.580000,58274757.077233
ARBB,-0.012007,0.000845,4.640000,9002805.431652
ARBE,-0.020005,0.003646,0.822000,99007722.790846
ARBK,-0.012908,0.004065,2.860000,1018596.805091
ARCB,0.002135,0.001005,102.660000,2119187597.340363
ARCC,-0.002431,0.000395,18.620000,13419847356.515570
ARCT,0.006683,0.001151,8.230000,209129097.233716
ARDX,-0.008176,0.002956,6.550000,1513176643.300894
AREB,-0.113322,0.026947,0.164000,2000732.918175
AREC,0.003809,0.005406,3.000000,338125340.650657
ARGX,-0.004549,0.000437,766.920000,45818475313.225342
ARHS,-0.012596,0.002683,8.250000,1040071482.249832
ARKO,0.008391,0.001507,6.430000,664052379.327273
ARKR,0.003306,0.000543,6.930000,24918551.229744
ARLP,0.005403,0.000222,26.490000,3504665737.032337
ARM,0.010324,0.001161,127.450000,124922888754.603821
AROW,-0.001555,0.000272,33.310000,541380628.527679
ARQ,-0.000925,0.001350,3.510000,136620430.835803
ARQQ,-0.009507,0.003713,16.460000,242290770.155148
ARQT,0.003636,0.001393,26.970000,3078508503.388016
ARRY,-0.016419,0.008185,7.580000,1028673719.075363
ARTL,-0.015203,0.004717,1.190000,2485983.148815
ARTNA,0.001955,0.000244,33.880000,349414759.112949
ARTV,0.019388,0.001774,5.820000,140151402.776314
ARTW,-0.008531,0.002255,2.360000,12580314.465608
ARVN,-0.001581,0.001497,13.270000,858678803.430113
ARWR,-0.007659,0.000533,63.270000,8495752710.893402
ASBP,-0.008907,0.004675,1.390000,6028970.639570
ASLE,0.001769,0.000220,7.800000,304815172.859965
ASMB,0.008047,0.002436,29.840000,460753274.925728
ASML,0.000689,0.000556,1450.560100,533002768090.788574
ASND,0.002600,0.000401,233.500000,14729445875.105774
ASNS,-0.046148,0.007818,0.185000,3209657.469814
ASO,0.004110,0.000615,60.130000,3951533726.077652
ASPC,-0.001520,0.002648,11.949000,25997875.278271
ASPI,-0.005205,0.003295,5.340000,726889801.661141
ASPS,0.029759,0.011795,7.620000,71897810.040629
ASRT,-0.002205,0.001061,11.660000,74242443.461746
ASRV,0.004290,0.001074,3.800000,61886726.166980
ASST,-0.027824,0.010737,7.940000,536542911.120661
ASTC,-0.005927,0.000463,2.810000,4256668.814198
ASTE,0.011414,0.000553,62.090000,1310097479.824608
ASTH,-0.004328,0.001730,20.330000,1239846718.920874
ASTI,0.007070,0.012652,6.300000,46236043.610830
ASTL,0.006477,0.003999,4.590000,455412716.691628
ASTS,-0.012972,0.004825,79.190000,34117288158.529572
ASUR,-0.002245,0.004372,9.140000,265007130.689430
ASYS,-0.012178,0.008186,13.050000,184835201.450872
ATAI,-0.001138,0.004119,3.630000,1412904839.882728
ATAT,0.004428,0.000600,39.270000,5003713159.196983
ATCX,0.002084,0.012527,6.310000,32633323.428506
ATEC,-0.003072,0.000768,13.620000,1947959682.078609
ATER,-0.010436,0.002106,0.569000,5554983.684813
ATEX,0.017374,0.001703,36.910000,723464153.171116
ATGL,-0.009069,0.002724,17.030000,271960507.535934
ATHE,0.006094,0.001046,3.440000,68072538.596694
ATHR,-0.028111,0.005163,3.580000,40563397.157609
ATII,-0.000573,0.000009,10.530000,308919587.583542
ATLC,0.000322,0.001255,52.310000,839295012.520828
ATLN,-0.012504,0.003974,3.150000,239410042.329939
ATLO,0.000996,0.000125,27.010000,237154094.568419
ATLX,0.007641,0.002918,5.290000,132506105.612196
ATNI,0.009211,0.001102,28.820000,359616724.783813
ATOM,0.050166,0.043176,5.040000,176454432.665789
ATON,-0.022591,0.003815,0.410000,9186358.255749
ATOS,-0.011363,0.002978,4.430000,39354232.008250
ATPC,-0.029535,0.010602,1.920000,2021092.800916
ATRA,0.005671,0.003701,5.420000,48164368.562281
ATRC,-0.008359,0.001385,31.260000,1463912959.988449
ATRO,0.002744,0.000844,80.620000,2653281818.795013
ATXG,0.003020,0.006445,0.338000,3151428.808378
ATYR,0.000713,0.002774,0.960000,88148778.787199
AUBN,-0.000768,0.000360,24.100000,84372829.517260
AUDC,-0.007406,0.001652,7.140000,227123655.867899
AUGO,0.019243,0.002652,84.450000,6742905426.290833
AUID,-0.000491,0.004659,1.660000,23358781.381398
AUPH,-0.003825,0.000290,14.170000,1910792953.012679
AUR,0.008785,0.002152,4.680000,8984029305.814640
AURA,0.000755,0.001397,5.890000,360063540.074915
AURE,-0.029637,0.002178,1.620000,78542810.291812
AUTL,0.012636,0.001406,1.710000,431152124.589070
AUUD,-0.000129,0.014581,0.841000,2264039.579155
AVAH,-0.006561,0.000607,7.360000,1525053135.746684
AVAV,-0.002194,0.003321,252.250000,11349090993.791794
AVBH,-0.002074,0.000118,28.880000,307608029.850960
AVBP,0.000904,0.000369,22.970000,1024190544.363375
AVGO,-0.001622,0.000752,319.550000,1639295416004.250000
AVIR,0.008133,0.000749,4.680000,480479802.850752
AVNW,0.006190,0.001310,25.040000,327331615.528049
AVO,0.003191,0.000271,14.190000,972005643.437894
AVPT,-0.003977,0.001156,10.780000,2377998339.060509
AVR,0.003770,0.001285,6.510000,576586063.529012
AVT,0.002255,0.000162,65.478600,5038665556.393513
AVTX,0.007905,0.003482,17.500000,320455813.783121
AVX,0.003608,0.007002,0.749000,69040791.676895
AVXL,-0.000206,0.001900,4.430000,443897717.284853
AWRE,-0.003730,0.001801,1.640000,33129227.780823
AXG,0.016214,0.001978,3.720000,682123295.647955
AXGN,-0.005026,0.000913,31.730000,1519564164.595310
AXIN,0.000056,0.000003,10.130000,344423327.155460
AXON,0.010486,0.002885,542.400000,44947123989.216614
AXSM,-0.006819,0.000315,163.890000,8414204788.603409
AXTI,0.039487,0.013493,37.900000,2131371646.947506
AYTU,-0.002123,0.001711,2.570000,28013671.754042
AZ,-0.011242,0.000988,5.230000,226805062.833012
AZI,-0.084518,0.023484,0.309000,29976325.150475
AZN,0.006418,0.000445,208.450000,302212274538.251892
AZTA,-0.016226,0.003608,26.980000,1065403127.113626
BACC,-0.000134,0.000004,10.195000,284654827.873375
BACQ,-0.000420,0.000003,10.500000,441120640.411964
BAER,-0.007930,0.001474,2.430000,119973109.407303
BAFN,0.000275,0.001674,6.620000,23632523.000000
BAND,0.003712,0.001955,14.820000,503300863.704165
BANF,-0.000802,0.000517,110.000000,3646028138.014099
BANL,0.024004,0.007562,0.452000,16386546.822530
BANR,-0.003663,0.000399,58.850000,2027117565.214600
BANX,-0.004696,0.000138,19.730000,147693944.228233
BAOS,-0.006554,0.001386,2.730000,4235184.105366
BATRA,0.005097,0.000280,48.410000,3121603237.352638
BATRK,0.004907,0.000229,43.710000,2811616118.379021
BAYA,-0.000063,0.000065,11.850000,41144529.543318
BBCP,0.006289,0.000375,6.740000,342256883.349990
BBCQ,-0.000158,0.000020,9.920000,385633346.065307
BBGI,-0.009270,0.002037,4.080000,7179896.154408
BBIO,-0.007870,0.002287,66.480000,12725158734.115494
BBLG,-0.018316,0.001611,1.152000,2190217.251363
BBNX,-0.003849,0.001406,12.630000,482433921.940866
BBOT,-0.008874,0.002453,10.030000,824683396.534589
BBSI,-0.016561,0.002002,27.770000,729789251.309978
BCAB,0.024685,0.010357,0.247000,14043273.410353
BCAL,0.000051,0.000173,18.310000,578340371.826622
BCAR,-0.000520,0.000001,10.085000,415708006.286621
BCAX,0.000833,0.001631,16.780000,1276515291.036743
BCBP,-0.000993,0.000382,8.000000,141128581.317902
BCDA,0.004523,0.002110,1.290000,13795493.509575
BCG,-0.005566,0.003541,2.150000,32540824.193334
BCIC,-0.004244,0.000240,11.250000,121431705.438536
BCML,0.000110,0.000193,29.400000,312765806.414333
BCPC,0.003268,0.000186,181.430000,5591487763.979950
BCRX,0.016074,0.001181,8.750000,2161901315.698147
