Ticker,Expected Return,Expected Risk (Var),Cost (Latest Price),Market Cap,Grade
ASND,0.044322,0.000401,233.5,14774262616.685911,A
ASNS,-0.606383,0.007818,0.185,2586743.910772,D
ASO,0.071072,0.000615,60.13,4017548325.0,B
ASPC,-0.047888,0.002648,11.949,26180906.754142,D
ASPI,-0.115162,0.003295,5.34,694361200.962862,C
ASPS,0.54878,0.011795,7.62,72117680.810944,D
ASRT,-0.047386,0.001061,11.66,75204968.033472,D
ASRV,0.070423,0.001074,3.8,63412698.741698,D
ASST,-0.450899,0.010737,7.94,548522103.274449,C
ASTC,-0.105096,0.000463,2.81,4239079.290972,D
ASTE,0.221042,0.000553,62.09,1325211343.670376,B
ASTH,-0.089158,0.00173,20.33,1249376312.176861,B
ASTI,0.014493,0.012652,6.3,43851153.032641,D
ASTL,0.085106,0.003999,4.59,461708738.807267,C
ASTS,-0.242563,0.004825,79.19,34008959818.12173,A
ASUR,-0.073961,0.004372,9.14,268128189.888212,C
ASYS,-0.260623,0.008186,13.05,186131787.299128,C
ATAI,-0.054688,0.004119,3.63,1231297538.882728,B
ATAT,0.077366,0.0006,39.27,5038259646.946983,B
ATCX,-0.062407,0.012527,6.31,30034651.603825,D
ATEC,-0.060041,0.000768,13.62,1851091393.314438,B
ATER,-0.187143,0.002106,0.569,5765551.330468,D
ATEX,0.344627,0.001703,36.91,741822375.81588,C
ATGL,-0.170886,0.002724,17.03,284801237.440109,C
ATHE,0.106109,0.001046,3.44,64858005.032315,D
ATHR,-0.429027,0.005163,3.58,40806291.525967,D
ATII,-0.010338,9e-06,10.53,310399093.227386,C
ATLC,-0.004756,0.001255,52.31,829907280.093727,C
ATLN,-0.229829,0.003974,3.15,205310110.072556,C
ATLO,0.017004,0.000125,27.01,236887323.452652,C
ATLX,0.118393,0.002918,5.29,133833827.227033,D
ATNI,0.169168,0.001102,28.82,368923743.216187,C
ATOM,0.819495,0.043176,5.04,175680510.443859,C
ATON,-0.359375,0.003815,0.41,8577059.129779,D
ATOS,-0.207513,0.002978,4.43,39009775.17675,D
ATPC,-0.473973,0.010602,1.92,2191184.847251,D
ATRA,0.075397,0.003701,5.42,37276915.500097,D
ATRC,-0.151005,0.001385,31.26,1495293250.821163,B
ATRO,0.04295,0.000844,80.62,2712172312.005424,B
ATXG,0.005952,0.006445,0.338,3104567.317411,D
ATYR,-0.010309,0.002774,0.96,80740986.509447,D
AUBN,-0.016728,0.00036,24.1,86434112.460356,D
AUDC,-0.138337,0.001652,7.14,231138477.773444,C
AUGO,0.378325,0.002652,84.45,6732881056.136459,B
AUID,-0.045977,0.004659,1.66,23208079.705118,D
AUPH,-0.068988,0.00029,14.17,1904144378.700478,B
AUR,0.149877,0.002152,4.68,8750171010.532047,A
