file_name,method,N,seed,total_points,left_points,right_points,max_gap,median_gap,gap_ratio,did_split
all_2obj_NSGA2_N1768_seed2,NSGA2,1768,2,60000,60000,0,2.5858190000000003,0.0,0.0,False
all_2obj_RANDOM_N1768_seed2,RANDOM,1768,2,60000,58942,1058,4.741408,2.000000000002e-06,2370703.999997629,True
all_2obj_NSGA2_N1768_seed3,NSGA2,1768,3,60000,60000,0,2.5345050000000002,0.0,0.0,False
all_2obj_RANDOM_N1768_seed3,RANDOM,1768,3,60000,58995,1005,4.729265999999999,2.000000000002e-06,2364632.999997635,True
all_2obj_NSGA2_N1768_seed4,NSGA2,1768,4,60000,60000,0,2.4587270000000006,0.0,0.0,False
all_2obj_RANDOM_N1768_seed4,RANDOM,1768,4,60000,58983,1017,4.6840209999999995,2.000000000002e-06,2342010.4999976577,True
all_2obj_NSGA2_N1768_seed5,NSGA2,1768,5,60000,60000,0,2.423315,0.0,0.0,False
all_2obj_RANDOM_N1768_seed5,RANDOM,1768,5,60000,58974,1026,4.719663,2.000000000002e-06,2359831.49999764,True
all_2obj_NSGA2_N1768_seed6,NSGA2,1768,6,60000,60000,0,2.564681,0.0,0.0,False
all_2obj_RANDOM_N1768_seed6,RANDOM,1768,6,60000,58979,1021,4.677233,2.000000000002e-06,2338616.4999976614,True
all_2obj_NSGA2_N1768_seed7,NSGA2,1768,7,60000,60000,0,2.5171100000000006,0.0,0.0,False
all_2obj_RANDOM_N1768_seed7,RANDOM,1768,7,60000,59020,980,4.774032,2.000000000002e-06,2387015.999997613,True
all_2obj_NSGA2_N1768_seed8,NSGA2,1768,8,60000,60000,0,2.5272970000000003,0.0,0.0,False
all_2obj_RANDOM_N1768_seed8,RANDOM,1768,8,60000,58997,1003,4.604866,2.000000000002e-06,2302432.9999976973,True
all_2obj_NSGA2_N1768_seed9,NSGA2,1768,9,60000,60000,0,2.529534,0.0,0.0,False
all_2obj_RANDOM_N1768_seed9,RANDOM,1768,9,60000,59037,963,4.784383,2.000000000002e-06,2392191.4999976074,True
all_2obj_NSGA2_N1768_seed10,NSGA2,1768,10,60000,60000,0,2.358684,0.0,0.0,False
all_2obj_RANDOM_N1768_seed10,RANDOM,1768,10,60000,59004,996,4.7408090000000005,2.000000000002e-06,2370404.49999763,True
